"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "SQL", "HTML", "comment", "blank", "total"
"/home/tomeczku/repos/webflix-college-project-git/LICENCE.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 5, 22
"/home/tomeczku/repos/webflix-college-project-git/README.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 15, 37
"/home/tomeczku/repos/webflix-college-project-git/account.php", "PHP", 0, 285, 0, 0, 0, 0, 2, 28, 315
"/home/tomeczku/repos/webflix-college-project-git/admin/admin.php", "PHP", 0, 375, 0, 0, 0, 0, 0, 39, 414
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_css/AdminStyleSheet.css", "CSS", 0, 0, 289, 0, 0, 0, 5, 63, 357
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_js/admin_page.js", "JavaScript", 433, 0, 0, 0, 0, 0, 40, 67, 540
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_js/datepicker_handler.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 18
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_php/admin_add_movie.php", "PHP", 0, 24, 0, 0, 0, 0, 7, 8, 39
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_php/admin_add_show.php", "PHP", 0, 24, 0, 0, 0, 0, 1, 9, 34
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_php/admin_data.php", "PHP", 0, 84, 0, 0, 0, 0, 8, 9, 101
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_php/admin_delete.php", "PHP", 0, 27, 0, 0, 0, 0, 4, 11, 42
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_php/admin_edit.php", "PHP", 0, 91, 0, 0, 0, 0, 4, 24, 119
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_php/admin_modals.php", "PHP", 0, 555, 0, 0, 0, 0, 0, 27, 582
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_php/admin_movies_data.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 6, 80
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_php/admin_shows_data.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 6, 80
"/home/tomeczku/repos/webflix-college-project-git/admin/admin_scripts/admin_php/admin_user_data.php", "PHP", 0, 75, 0, 0, 0, 0, 0, 8, 83
"/home/tomeczku/repos/webflix-college-project-git/css/StyleSheet.css", "CSS", 0, 0, 1769, 0, 0, 0, 29, 364, 2162
"/home/tomeczku/repos/webflix-college-project-git/includes/account_modals.php", "PHP", 0, 403, 0, 0, 0, 0, 0, 26, 429
"/home/tomeczku/repos/webflix-college-project-git/includes/bottom_bar.html", "HTML", 0, 0, 0, 0, 0, 9, 2, 2, 13
"/home/tomeczku/repos/webflix-college-project-git/includes/common_modals.php", "PHP", 0, 206, 0, 0, 0, 0, 0, 21, 227
"/home/tomeczku/repos/webflix-college-project-git/includes/connect_db.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 6, 29
"/home/tomeczku/repos/webflix-college-project-git/includes/delete_action.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 1, 13
"/home/tomeczku/repos/webflix-college-project-git/includes/edit-details.php", "PHP", 0, 127, 0, 0, 0, 0, 0, 9, 136
